Geneid	GSM1842140	GSM1842141	GSM1842142	GSM1842143	GSM1842144	GSM1842145	GSM1842146	GSM1842147	GSM1842148	GSM1842149	GSM1842150	GSM1842151	GSM1842152	GSM1842153	GSM1842154
ENSMUSG00000061024	1370	1747	1701	2186	1394	2031	1503	1363	873	442	1282	1962	182	9027	1061
ENSMUSG00000025911	34	38	456	350	200	971	888	40	20	12	18	89	8	329	22
ENSMUSG00000079671	8	17	34	28	28	65	59	12	8	0	0	28	0	76	10
ENSMUSG00000081441	46	51	13	18	9	2	14	1	3	0	0	0	0	15	1
ENSMUSG00000067879	14	13	8	2	9	0	4	2	0	0	0	0	0	19	4
ENSMUSG00000099827	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025912	443	584	388	704	656	475	349	816	389	226	957	1423	34	4252	512
ENSMUSG00000045210	1967	2468	1985	2448	2563	2458	1827	1418	1230	791	1899	2549	772	10859	1293
ENSMUSG00000097893	8	5	7	9	2	7	0	0	2	0	2	0	56	36	0
ENSMUSG00000025915	408	478	298	727	575	384	226	403	344	562	466	583	861	3367	419
ENSMUSG00000046334	108	86	19	136	18	24	60	16	4	32	14	48	13	209	21
ENSMUSG00002075801	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098234	3050	2303	688	3710	1176	854	1000	669	420	180	677	948	182	5520	612
ENSMUSG00000046101	19	32	18	25	17	6	2	10	0	0	0	0	0	21	0
ENSMUSG00000093178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099032	0	10	18	10	8	8	2	2	2	0	6	62	6	52	7
ENSMUSG00000104025	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025916	2	5	2	1	0	4	0	0	0	0	20	0	0	6	0
ENSMUSG00000087199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121270	4	2	0	2	0	0	0	0	0	0	0	0	0	7	0
ENSMUSG00000119658	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000025917	5761	5673	2962	7371	3369	3204	4089	2168	1525	948	2497	3151	814	16126	1919
ENSMUSG00000056763	1521	1803	1571	1746	1934	1645	964	815	668	578	1084	925	383	6939	962
ENSMUSG00000102356	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5
ENSMUSG00000067851	5895	7625	4230	5370	6989	5389	3658	4442	3226	2672	5341	6757	2104	35615	4451
ENSMUSG00002076532	7	1	2	4	5	4	0	0	0	0	0	0	0	25	0
ENSMUSG00000102556	0	5	1	0	0	0	0	0	0	0	18	0	0	6	0
ENSMUSG00000042501	26	34	21	50	16	18	22	0	4	0	0	0	0	19	6
ENSMUSG00000103810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083422	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000119312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081417	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103448	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100212	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100648	0	1	2	1	0	2	1	0	0	0	0	0	0	0	0
ENSMUSG00002076499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048960	279	449	407	823	1623	603	351	16	7	92	34	36	222	233	20
ENSMUSG00000077318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101827	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103494	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057715	341	523	22	286	161	18	13	21	70	62	161	38	30	565	57
ENSMUSG00000103825	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0
ENSMUSG00000099845	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103561	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSMUSG00000101610	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000118923	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097628	0	4	4	0	0	0	0	0	0	0	0	0	0	1	2
ENSMUSG00000098163	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097171	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000016918	167	243	6195	3206	4317	10176	9477	100	161	0	326	0	0	656	69
ENSMUSG00000025938	48	60	206	98	186	251	62	2	6	0	0	0	0	82	3
ENSMUSG00000104518	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ENSMUSG00000069620	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099498	4	7	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042414	10	12	21	11	23	48	19	0	0	0	0	0	0	4	0
ENSMUSG00000005886	2852	3303	3232	2894	5558	4616	2736	2352	1889	2162	2555	3611	2066	18596	2469
ENSMUSG00000103506	0	6	0	0	0	6	0	0	0	0	0	0	0	32	0
ENSMUSG00000103495	0	2	2	0	0	0	0	0	0	0	0	0	0	8	0
ENSMUSG00002076346	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0
ENSMUSG00000102639	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000104170	0	4	3	2	2	0	0	0	0	0	0	0	0	6	0
ENSMUSG00000087782	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103085	0	13	2	0	2	3	0	0	0	0	0	0	0	27	4
ENSMUSG00000102664	3	4	9	0	2	0	0	0	0	0	0	0	0	28	2
ENSMUSG00000101476	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101171	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025935	4249	5443	5426	6715	4922	6407	4738	2889	1931	1214	3250	5021	1039	21318	2023
ENSMUSG00000120948	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000025937	379	360	523	862	416	940	852	749	529	926	945	1368	1254	5366	700
ENSMUSG00000102982	3	8	3	0	4	2	0	12	2	0	0	0	0	60	2
ENSMUSG00000067813	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000077368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097711	6	2	2	1	1	1	3	4	0	0	1	1	1	6	0
ENSMUSG00000102166	113	98	3	42	43	0	0	16	10	0	84	0	0	131	26
ENSMUSG00002075174	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104209	0	4	0	0	0	0	0	0	0	0	0	0	0	5	0
ENSMUSG00000025932	164	128	2	114	96	13	8	204	106	116	191	121	243	991	135
ENSMUSG00002075819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
