Symbol	GSM225042	GSM225043	GSM225044	GSM225045	GSM225046	GSM225047	GSM230247	GSM230248	GSM230249	GSM230250	GSM230251	GSM230252	GSM230253	GSM230254	GSM230255	GSM230256	GSM230257	GSM230258	GSM230259	GSM230268	GSM230269	GSM230270	GSM230271	GSM230272	GSM230273	GSM230274	GSM230275	GSM230276	GSM230277	GSM230278	GSM230280	GSM230281	GSM230282	GSM230283	GSM230284	GSM230285	GSM230286	GSM230287	GSM230288	GSM230289	GSM230290	GSM230291	GSM230292	GSM230293	GSM230294	GSM230295	GSM230296	GSM230297	GSM230298	GSM230299	GSM230300	GSM230301	GSM230302
AADACP1	2.68717835969496	2.51007907887593	2.99853721058564	2.70132327378312	2.50193177029447	2.67128427418217	3.233797485	3.127298978	3.746117944	3.333038648	3.078181501	3.285145205	3.446034757	3.508902792	3.254318927	3.26495376	3.182753654	3.323669194	3.386346648	2.930883525	2.788629687	3.1627439	2.88304787	2.617979882	2.832782303	2.675348586	2.810889138	2.829919742	2.829919742	2.74133197	2.997601089	2.902376269	3.424784324	3.022208317	2.847202661	2.994873384	2.967204201	2.979498079	2.706317828	2.924039556	2.919387187	2.556066418	2.432176127	2.76813889	2.599209265	2.394292337	2.565152526	2.648147542	2.3420808	2.442422169	2.412641446	2.368574949	2.428272458
AADAT	4.68943254215798	4.83250092757612	4.36283964754177	4.90474573235242	4.67397838785316	4.75545350771145	5.395387345	5.597939564	4.867251848	5.429636486	5.244605439	5.349017324	4.733650875	5.559040218	6.746123806	5.078216633	5.128363128	5.137698258	5.329800938	4.788677058	5.075859153	4.431536119	4.983127588	4.795082789	4.780744248	3.467318955	3.88984293	3.845940408	4.20544104	3.881116518	5.683662267	5.675587902	5.291991519	5.805457225	5.655088098	5.601375934	4.422614776	5.4754194	5.800874109	5.71487386	5.7711704	4.177475703	4.545567313	3.686091281	4.340305172	4.206204558	3.892108684	2.741354945	2.644003698	2.657225901	2.722465011	3.126738222	2.929869118
AAED1	4.88482504025377	5.93830064324485	4.46373913851013	5.67536591644399	6.35042240483413	6.46927606996682	5.819496161	6.657294712	5.128997878	6.399489713	7.134883585	7.159609582	6.446187105	6.584110185	6.584110185	6.279774884	6.79194054	7.258007164	6.522189746	5.785227051	6.671740957	4.994821768	6.406599696	7.251765866	7.335051401	6.556542099	6.801681439	8.103557731	8.290820976	8.260300956	6.033372183	7.122396715	5.204240247	6.767978626	7.586870163	7.763670479	8.019289396	7.783672705	7.799065495	7.122111788	6.969672292	5.107362373	5.921858966	4.818438709	5.996653027	6.591822345	6.576833192	5.514785732	5.824517669	5.087849958	5.602962428	5.384989773	5.985049751
AAGAB	5.40408814386671	5.27231884712615	4.97956366027685	5.36186669508268	5.44699873874039	5.24685350167505	5.96102096533333	5.990287829	5.59807886133333	5.88480746033333	6.04399817633333	5.830984103	6.31701912233333	6.063193959	6.05230974866667	6.136314255	5.971802783	6.28452713466667	6.115322287	5.76902041433333	5.64501782766667	5.32906712966667	5.720447267	5.56923098866667	5.453871717	5.65598073133333	5.149822556	5.30070564066667	5.62234557166667	5.695747737	5.80962699166667	5.753213949	5.38036058	5.746273486	5.73344545766667	5.639118887	5.536948418	5.389055138	5.17266782333333	5.08483704966667	5.07726891966667	5.22361792266667	5.09794608733333	4.78559410466667	5.17957003133333	4.93505482866667	4.957978178	5.06065541566667	5.00714809233333	4.95878386133333	5.16597621466667	5.17414220666667	5.189590951
AAK1	4.81070382473462	4.4590970894072	4.91346366557244	4.79129371880157	4.70121306094125	4.77703617349338	5.26632104071429	4.90554578485714	5.37615422485714	5.20424381528571	5.14144565371429	5.19315602257143	5.17916505028571	5.08708274042857	5.00244173342857	5.30795870957143	5.11723882014286	4.94338856642857	5.22670706314286	5.16320881971429	4.86200137928571	5.25807956442857	5.127289789	5.10736339828571	5.18118858942857	5.178555977	5.02514143585714	5.192484846	5.03854889457143	5.21276228442857	5.36307726542857	5.078610441	5.44352750028572	5.27161142028571	5.31932940514286	5.458353278	5.22756775714286	5.30360923785714	5.23505970485714	5.232701226	5.20215689442857	4.65145781357143	4.32969289342857	4.86090034914286	4.66136593528572	4.695145123	4.65456162785714	5.31686594271429	5.59952101028572	5.39353951557143	5.24995232514286	5.320057268	5.57107210657143
AAMDC	5.73429993610666	5.71348810953917	5.11509030732627	5.10893984609897	5.37339264173321	5.33418465985782	6.35302928366667	6.56028220066667	5.946953774	5.80432255066667	6.11703597933333	6.120700159	6.332078199	6.135060393	6.53533237233333	6.29256656766667	6.17763948	6.38897134	6.11098427666667	5.89930063133333	6.18127653033333	4.96969321733333	5.400579294	5.61039212933333	5.56881752266667	5.26738961966667	5.057488299	5.20667987433333	5.17937645366667	5.086743955	6.392723438	6.65324771166667	5.59766981666667	5.72502546166667	6.04007762833333	6.11221779733333	5.658196688	6.14920172	6.09549421733333	5.980351897	5.805704582	5.48760375366667	5.78652383533333	4.869050597	5.011432875	5.313938349	5.15966260533333	4.27818723066667	4.18707577566667	4.134126697	4.27286798566667	4.35415053966667	4.27270497233333
AAMP	7.79170707915884	7.83950241612118	7.72353303552673	7.719142860759	7.61337581753456	7.81829571787447	8.119579682	8.181685804	7.994692908	8.057322531	7.84144888	8.097309844	8.507763931	8.599571997	8.437457039	8.56736158	8.415037184	8.316183158	8.348209692	7.978390593	8.211985408	8.043826112	7.948312118	7.682716177	7.778895624	7.564715812	7.518969886	8.383573052	8.295958033	8.258499536	8.593823166	8.618012229	8.593852397	8.328517866	8.157242184	8.158369324	8.726219369	8.190268842	7.938316635	7.945046304	8.1528357	7.881361228	7.78960437	7.790147629	7.735492301	7.694601801	7.676992264	7.404772709	7.726121543	7.228792401	7.469562437	7.650287518	7.787773684
AANAT	3.35458320808612	2.89374392216815	3.26169877885767	3.19136245479483	3.17752986516701	3.12602376740857	4.100769294	3.6540934	3.645734225	3.699494706	3.6540934	3.883717436	3.305298979	3.387848568	3.6540934	3.804428004	3.713123032	3.785358711	3.561668729	3.320911939	2.903694294	3.289810462	3.257889215	3.252559143	3.591166822	3.08476151	3.173727329	3.257889215	3.257889215	3.310341376	3.628128077	3.333428152	3.573160927	3.534153717	3.534153717	4.007755669	3.520760226	3.534153717	3.534153717	3.534153717	3.367107234	2.89320231	3.035510016	2.988955045	3.080341226	2.986324302	3.123099201	3.320753315	3.055894931	2.983405764	3.059325229	2.842862395	3.431363038
AAR2	7.45547477812792	6.82823864467847	6.33000427905425	7.18393043730354	6.83361967177272	6.96887626870611	8.149447393	7.451887392	6.862477318	7.779399644	7.387381881	7.496942708	7.726293728	7.921130366	7.779399644	7.861331874	7.717659755	7.793818562	7.815815114	8.07617388	7.462555031	6.652941068	7.620430899	7.28505181	7.689663339	7.512696867	6.783413335	7.943881924	8.148056606	7.938574069	8.320869294	7.480157575	7.094202332	7.825424521	7.53653421	7.745520508	8.042783709	7.754816769	7.730780578	7.592007828	7.62862025	7.385792941	6.858387129	5.983697408	6.946477001	6.829770695	7.023109213	6.614147987	6.682917098	6.485209389	6.846921151	6.7653094	7.037229648
AARS	9.21880964077543	8.83584290553244	8.32263715192401	9.00222855373964	9.17857445897035	8.6383367967297	10.00479818	9.527755851	8.937918925	9.676387918	9.762760366	9.495465705	8.72516106	9.052635668	9.072070565	9.155868186	8.886259631	8.520382191	8.845844037	10.15815872	9.868621394	8.975734698	9.900016365	10.12096561	9.539235311	8.730117397	8.040825606	8.750773641	9.383545507	9.017399137	10.31892931	9.927830271	9.326041571	10.2791221	10.35313224	9.676958213	8.952048026	8.938310033	8.647708773	8.566434862	8.497904621	9.219436975	8.889370824	8.125469506	8.927140059	9.182641703	8.631234365	6.938394028	6.872194059	6.44786644	6.789486121	6.869936807	7.301466066
