geneSymbol	CellType	Source
NQO1	Adipocytes: Connective tissue	PanglaoDB
SYAP1	Adipocytes: Connective tissue	PanglaoDB
CRNDE	Adipocytes: Connective tissue	PanglaoDB
AQP5	Adipocytes: Connective tissue	PanglaoDB
TSPO	Adipocytes: Connective tissue	PanglaoDB
AZGP1	Adipocytes: Connective tissue	PanglaoDB
LRP1	Adipocytes: Connective tissue	PanglaoDB
PDE3B	Adipocytes: Connective tissue	PanglaoDB
LGALS12	Adipocytes: Connective tissue	PanglaoDB
SERPINF1	Adipocytes: Connective tissue	PanglaoDB
CPT1B	Adipocytes: Connective tissue	PanglaoDB
ELOVL3	Adipocytes: Connective tissue	PanglaoDB
PPARGC1A	Adipocytes: Connective tissue	PanglaoDB
MPZL1	Adipocytes: Connective tissue	PanglaoDB
CITED1	Adipocytes: Connective tissue	PanglaoDB
DPT	Adipocytes: Connective tissue	PanglaoDB
HOXC9	Adipocytes: Connective tissue	PanglaoDB
ESM1	Adipocytes: Connective tissue	PanglaoDB
TH	Adrenergic neurons: Brain	PanglaoDB
DDC	Adrenergic neurons: Brain	PanglaoDB
DBH	Adrenergic neurons: Brain	PanglaoDB
PNMT	Adrenergic neurons: Brain	PanglaoDB
SLC18A2	Adrenergic neurons: Brain	PanglaoDB
NPFF	Adrenergic neurons: Brain	PanglaoDB
SLC12A7	Adrenergic neurons: Brain	PanglaoDB
SYT1	Adrenergic neurons: Brain	PanglaoDB
AQP1	Airway epithelial cells: Lungs	PanglaoDB
ADH7	Airway epithelial cells: Lungs	PanglaoDB
CDH1	Airway epithelial cells: Lungs	PanglaoDB
SEC14L3	Airway epithelial cells: Lungs	PanglaoDB
MUC5B	Airway goblet cells: Lungs	PanglaoDB
MUC16	Airway goblet cells: Lungs	PanglaoDB
LTF	Airway goblet cells: Lungs	PanglaoDB
SCGB3A1	Airway goblet cells: Lungs	PanglaoDB
DCPP1	Airway goblet cells: Lungs	PanglaoDB
DMBT1	Airway goblet cells: Lungs	PanglaoDB
WFDC18	Airway goblet cells: Lungs	PanglaoDB
DCPP3	Airway goblet cells: Lungs	PanglaoDB
LIPF	Airway goblet cells: Lungs	PanglaoDB
DCPP2	Airway goblet cells: Lungs	PanglaoDB
MSLN	Airway goblet cells: Lungs	PanglaoDB
AGR2	Airway goblet cells: Lungs	PanglaoDB
GP2	Airway goblet cells: Lungs	PanglaoDB
PIGR	Airway goblet cells: Lungs	PanglaoDB
TFF2	Airway goblet cells: Lungs	PanglaoDB
AQP5	Airway goblet cells: Lungs	PanglaoDB
CBR2	Airway goblet cells: Lungs	PanglaoDB
QSOX1	Airway goblet cells: Lungs	PanglaoDB
FXYD3	Airway goblet cells: Lungs	PanglaoDB
SEC23B	Airway goblet cells: Lungs	PanglaoDB
CEACAM1	Airway goblet cells: Lungs	PanglaoDB
GOLPH3	Airway goblet cells: Lungs	PanglaoDB
GGH	Airway goblet cells: Lungs	PanglaoDB
GALNT5	Airway goblet cells: Lungs	PanglaoDB
GALNT6	Airway goblet cells: Lungs	PanglaoDB
MUC5AC	Airway goblet cells: Lungs	PanglaoDB
MUC4	Airway goblet cells: Lungs	PanglaoDB
MUC20	Airway goblet cells: Lungs	PanglaoDB
SPDEF	Airway goblet cells: Lungs	PanglaoDB
DUSP4	Airway goblet cells: Lungs	PanglaoDB
NOG	Airway smooth muscle cells: Smooth muscle	PanglaoDB
ACTA2	Airway smooth muscle cells: Smooth muscle	PanglaoDB
FOXF1	Airway smooth muscle cells: Smooth muscle	PanglaoDB
GATA5	Airway smooth muscle cells: Smooth muscle	PanglaoDB
GCG	Alpha cells: Pancreas	PanglaoDB
TTR	Alpha cells: Pancreas	PanglaoDB
GLP1R	Alpha cells: Pancreas	PanglaoDB
ARX	Alpha cells: Pancreas	PanglaoDB
POU3F4	Alpha cells: Pancreas	PanglaoDB
NKX2-2	Alpha cells: Pancreas	PanglaoDB
RESP18	Alpha cells: Pancreas	PanglaoDB
PYY	Alpha cells: Pancreas	PanglaoDB
PCSK2	Alpha cells: Pancreas	PanglaoDB
SLC38A5	Alpha cells: Pancreas	PanglaoDB
TM4SF4	Alpha cells: Pancreas	PanglaoDB
CRYBA2	Alpha cells: Pancreas	PanglaoDB
NKX6-1	Alpha cells: Pancreas	PanglaoDB
KCNK16	Alpha cells: Pancreas	PanglaoDB
PCSK1	Alpha cells: Pancreas	PanglaoDB
PRRG2	Alpha cells: Pancreas	PanglaoDB
IRX2	Alpha cells: Pancreas	PanglaoDB
ALDH1A1	Alpha cells: Pancreas	PanglaoDB
PEMT	Alpha cells: Pancreas	PanglaoDB
CHGA	Alpha cells: Pancreas	PanglaoDB
SMIM24	Alpha cells: Pancreas	PanglaoDB
F10	Alpha cells: Pancreas	PanglaoDB
SCGN	Alpha cells: Pancreas	PanglaoDB
SLC30A8	Alpha cells: Pancreas	PanglaoDB
SH3GL2	Alpha cells: Pancreas	PanglaoDB
FAP	Alpha cells: Pancreas	PanglaoDB
DPP4	Alpha cells: Pancreas	PanglaoDB
GPR119	Alpha cells: Pancreas	PanglaoDB
MAFB	Alpha cells: Pancreas	PanglaoDB
PAX6	Alpha cells: Pancreas	PanglaoDB
NEUROD1	Alpha cells: Pancreas	PanglaoDB
LOXL4	Alpha cells: Pancreas	PanglaoDB
PLCE1	Alpha cells: Pancreas	PanglaoDB
GC	Alpha cells: Pancreas	PanglaoDB
KLHL41	Alpha cells: Pancreas	PanglaoDB
FEV	Alpha cells: Pancreas	PanglaoDB
PTGER3	Alpha cells: Pancreas	PanglaoDB
RFX6	Alpha cells: Pancreas	PanglaoDB
SMARCA1	Alpha cells: Pancreas	PanglaoDB
PGR	Alpha cells: Pancreas	PanglaoDB
LDB2	Alpha cells: Pancreas	PanglaoDB
IRX1	Alpha cells: Pancreas	PanglaoDB
UCP2	Alpha cells: Pancreas	PanglaoDB
FXYD5	Alpha cells: Pancreas	PanglaoDB
RGS4	Alpha cells: Pancreas	PanglaoDB
GLS	Alpha cells: Pancreas	PanglaoDB
CHIL3	Alveolar macrophages: Lungs	PanglaoDB
PLET1	Alveolar macrophages: Lungs	PanglaoDB
IL1B	Alveolar macrophages: Lungs	PanglaoDB
WFDC21	Alveolar macrophages: Lungs	PanglaoDB
BGLAP3	Alveolar macrophages: Lungs	PanglaoDB
CCL3	Alveolar macrophages: Lungs	PanglaoDB
G0S2	Alveolar macrophages: Lungs	PanglaoDB
CXCL2	Alveolar macrophages: Lungs	PanglaoDB
MCEMP1	Alveolar macrophages: Lungs	PanglaoDB
KLHDC4	Alveolar macrophages: Lungs	PanglaoDB
