geneSymbol	CellType	Source
CD44	Adipose-derived stem cell: Abdominal adipose tissue	CellMarker
PTPRC	Adipose-derived stem cell: Abdominal adipose tissue	CellMarker
THY1	Adipose-derived stem cell: Abdominal adipose tissue	CellMarker
MCAM	Adipose-derived stem cell: Adipose tissue	CellMarker
THY1	Adipose-derived stem cell: Adipose tissue	CellMarker
KLF4	Adipose-derived stem cell: Adipose tissue	CellMarker
NANOG	Adipose-derived stem cell: Adipose tissue	CellMarker
NES	Adipose-derived stem cell: Adipose tissue	CellMarker
POU5F1	Adipose-derived stem cell: Adipose tissue	CellMarker
PDGFRB	Adipose-derived stem cell: Adipose tissue	CellMarker
SOX2	Adipose-derived stem cell: Adipose tissue	CellMarker
VCAM1	Adipose-derived stem cell: Adipose tissue	CellMarker
ITGB1	Adipose-derived stem cell: Adipose tissue	CellMarker
PECAM1	Adipose-derived stem cell: Adipose tissue	CellMarker
CD34	Adipose-derived stem cell: Adipose tissue	CellMarker
PTPRC	Adipose-derived stem cell: Adipose tissue	CellMarker
THY1	Adipose-derived stem cell: Adipose tissue	CellMarker
ENG	Adipose-derived stem cell: Adipose tissue	CellMarker
KIT	Adipose-derived stem cell: Adipose tissue	CellMarker
ENG	Adipose-derived stem cell: Adipose tissue	CellMarker
NT5E	Adipose-derived stem cell: Adipose tissue	CellMarker
THY1	Adipose-derived stem cell: Adipose tissue	CellMarker
ENG	Adipose-derived stem cell: Adipose tissue	CellMarker
PECAM1	Adipose-derived stem cell: Adipose tissue	CellMarker
CD34	Adipose-derived stem cell: Adipose tissue	CellMarker
PTPRC	Adipose-derived stem cell: Adipose tissue	CellMarker
THY1	Adipose-derived stem cell: Adipose tissue	CellMarker
ENG	Adipose-derived stem cell: Adipose tissue	CellMarker
NGFR	Adipose-derived stem cell: Adipose tissue	CellMarker
ITGA1	Adipose-derived stem cell: Adipose tissue	CellMarker
THY1	Adipose-derived stem cell: Adipose tissue	CellMarker
CD44	Adipose-derived stem cell: Adipose tissue	CellMarker
NT5E	Adipose-derived stem cell: Adipose tissue	CellMarker
CD9	Adipose-derived stem cell: Adipose tissue	CellMarker
THY1	Adipose-derived stem cell: Adipose tissue	CellMarker
VCAM1	Adipose-derived stem cell: Adipose tissue	CellMarker
ITGB1	Adipose-derived stem cell: Adipose tissue	CellMarker
CD34	Adipose-derived stem cell: Adipose tissue	CellMarker
CD44	Adipose-derived stem cell: Adipose tissue	CellMarker
PTPRC	Adipose-derived stem cell: Adipose tissue	CellMarker
HLA-ABC family	Adipose-derived stem cell: Adipose tissue	CellMarker
PECAM1	Adipose-derived stem cell: Adipose tissue	CellMarker
ENG	Adipose-derived stem cell: Adipose tissue	CellMarker
ITGB1	Adipose-derived stem cell: Adipose tissue	CellMarker
CD44	Adipose-derived stem cell: Adipose tissue	CellMarker
MYC	Adipose-derived stem cell: Adipose tissue	CellMarker
KLF4	Adipose-derived stem cell: Adipose tissue	CellMarker
NANOG	Adipose-derived stem cell: Adipose tissue	CellMarker
POU5F1	Adipose-derived stem cell: Adipose tissue	CellMarker
SOX2	Adipose-derived stem cell: Adipose tissue	CellMarker
PECAM1	Adipose-derived stem cell: Adipose tissue	CellMarker
CD34	Adipose-derived stem cell: Adipose tissue	CellMarker
PTPRC	Adipose-derived stem cell: Adipose tissue	CellMarker
MME	Adipose-derived stem cell: Adipose tissue	CellMarker
ITGAL	Adipose-derived stem cell: Adipose tissue	CellMarker
ITGAX	Adipose-derived stem cell: Adipose tissue	CellMarker
CDH5	Adipose-derived stem cell: Adipose tissue	CellMarker
CD34	Adipose-derived stem cell: Adipose tissue	CellMarker
CD44	Adipose-derived stem cell: Adipose tissue	CellMarker
ITGA4	Adipose-derived stem cell: Adipose tissue	CellMarker
ICAM1	Adipose-derived stem cell: Adipose tissue	CellMarker
CD55	Adipose-derived stem cell: Adipose tissue	CellMarker
CD59	Adipose-derived stem cell: Adipose tissue	CellMarker
TFRC	Adipose-derived stem cell: Adipose tissue	CellMarker
CD9	Adipose-derived stem cell: Adipose tissue	CellMarker
ENG	Adipose-derived stem cell: Adipose tissue	CellMarker
MCAM	Adipose-derived stem cell: Adipose tissue	CellMarker
NGFR	Adipose-derived stem cell: Adipose tissue	CellMarker
PECAM1	Adipose-derived stem cell: Adipose tissue	CellMarker
CD34	Adipose-derived stem cell: Adipose tissue	CellMarker
PTPRC	Adipose-derived stem cell: Adipose tissue	CellMarker
ENG	Adipose-derived stem cell: Subcutaneous adipose tissue	CellMarker
THY1	Adipose-derived stem cell: Subcutaneous adipose tissue	CellMarker
NANOG	Adipose-derived stem cell: Subcutaneous adipose tissue	CellMarker
POU5F1	Adipose-derived stem cell: Subcutaneous adipose tissue	CellMarker
SOX2	Adipose-derived stem cell: Subcutaneous adipose tissue	CellMarker
ANPEP	Adipose-derived stem cell: Subcutaneous adipose tissue	CellMarker
ITGB1	Adipose-derived stem cell: Subcutaneous adipose tissue	CellMarker
PECAM1	Adipose-derived stem cell: Subcutaneous adipose tissue	CellMarker
CD34	Adipose-derived stem cell: Subcutaneous adipose tissue	CellMarker
CD44	Adipose-derived stem cell: Subcutaneous adipose tissue	CellMarker
MME	Adipose-derived stem cell: Subcutaneous adipose tissue	CellMarker
THBD	Adipose-derived stem cell: Subcutaneous adipose tissue	CellMarker
F3	Adipose-derived stem cell: Visceral adipose tissue	CellMarker
CD200	Adipose-derived stem cell: Visceral adipose tissue	CellMarker
DLK1	Adipose-derived stromal cell: Abdominal adipose tissue	CellMarker
CDH5	Adipose-derived stromal cell: Adipose tissue	CellMarker
PECAM1	Adipose-derived stromal cell: Adipose tissue	CellMarker
CD34	Adipose-derived stromal cell: Adipose tissue	CellMarker
MME	Adipose-derived stromal cell: Adipose tissue	CellMarker
ENG	Adipose-derived stromal cell: Adipose tissue	CellMarker
ANPEP	Adipose-derived stromal cell: Adipose tissue	CellMarker
ALCAM	Adipose-derived stromal cell: Adipose tissue	CellMarker
ITGB1	Adipose-derived stromal cell: Adipose tissue	CellMarker
CD44	Adipose-derived stromal cell: Adipose tissue	CellMarker
TFRC	Adipose-derived stromal cell: Adipose tissue	CellMarker
NT5E	Adipose-derived stromal cell: Adipose tissue	CellMarker
THY1	Adipose-derived stromal cell: Adipose tissue	CellMarker
PECAM1	Adipose-derived stromal cell: Adipose tissue	CellMarker
ENG	Adipose-derived stromal cell: Adipose tissue	CellMarker
VCAM1	Adipose-derived stromal cell: Adipose tissue	CellMarker
CD34	Adipose-derived stromal cell: Adipose tissue	CellMarker
CD44	Adipose-derived stromal cell: Adipose tissue	CellMarker
PTPRC	Adipose-derived stromal cell: Adipose tissue	CellMarker
NT5E	Adipose-derived stromal cell: Adipose tissue	CellMarker
