Symbol	GSM364903	GSM364904	GSM364905	GSM364906
1110038F14Rik	-0.15671435	0.20001	-0.11165231	0.206643
1110046J04Rik	0.56948631	-0.2568998	0.470761663	-1.0023965
1110049F12Rik	-0.1915432	-0.043028265	-0.1477803765	-0.08175315
1110051M20Rik	0.59081069	-0.52467	0.714885846666667	-0.570089333333333
1110054M08Rik	0.17187877	-0.144544	0.19073407	-0.0871105
1110054O05Rik	-0.01251603	0.1010666895	-0.111802084	0.388565
1110057K04Rik	-0.37983143	0.146534	-0.21559191	-0.0201563
1110058L19Rik	0.39507464	0.177797	0.5739886	-0.117763
1110059E24Rik	0.20320924	0.0303504	0.08223482	-0.100327
1110059G10Rik	0.49728301	0.075371	-0.691086185	0.6004874
1110059M19Rik	-0.85304797	0.603648	-0.24599749	0.702539
1110065P20Rik	0.24861203	-0.2839735	0.06441281	-0.0191767
1110067D22Rik	-0.56379503	0.736758	-0.2673469	0.379533
1190001L17Rik	-0.022178395	-0.49393	0.61431617	-0.907012
1190001M18Rik	0	0	0	0
1190002F15Rik	-0.16291974	0.673436	0.49866223	-0.0362766
1190002H23Rik	2.0388498	-2.019	2.5398664	-2.31567
1190002N15Rik	-0.079173684	-0.211191	-0.22599912	0.19623
1190003J15Rik	-0.24217033	0.3158035	0.63912805	-0.518697
1190003K10Rik	0.4887533	0.562213	0.12408217	0.13602
1190005F20Rik	-0.28584892	0.248554	-0.64084995	0.617013
1190005I06Rik	0.975394	-0.896634	1.1009117	-1.00094
1190007F08Rik	1.164798	-1.2351585	0.594393105	-0.0594705
1190007I07Rik	0.037400495	-0.0478973	0.24872428	-0.159585
1200009I06Rik	-1.0030237	0.534568	-1.7203263	1.57398
1200011I18Rik	0.22943436	-0.117775	0.602195	-0.218395
1200011M11Rik	0	0	0	0
1200014J11Rik	-0.203385016666667	0.1868503	0.122716463333333	-0.00683833333333334
1200016B10Rik	0.0595245515	-0.4003175	-0.199931846	0.2545121
1300001I01Rik	-0.45972553	0.0968261	-0.904002	0.492146
1300002E11Rik	-0.176680899	0.1972575	0.174313029	-0.041851
1300002K09Rik	1.1672736	-1.26623	0.53840132	-0.48459
1300010F03Rik	-0.158832266666667	0.752583666666667	0.11148567	0.255777726666667
1300014I06Rik	-0.32471862	0.418582	-0.10067064	0.166857
1300015D01Rik	0.20424889	0.92375	0.5050471	0.710022
1300017J02Rik	-0.00127630000000001	-0.1320905	0.2223188	-0.213390025
1300018I17Rik	-0.08468087	0.155609	-0.23735791	0.443302
1300018J18Rik	0.25895628	-0.415964	0.050987996	-0.471601
1500001M20Rik	0.13588147	0.00713543	0.091425054	0.122842
1500002C15Rik	0.4944279	-0.323832	0.559771	0.417307
1500002F19Rik	-0.15829286	0.717828	-0.3479693	0.417438
1500002I01Rik	0	0	0	0
1500002K03Rik	0	0	-0.37616295	0
1500002O10Rik	0	0	0	0
1500002O20Rik	0.105375126	-0.320137	0.20830582	-0.36482
1500003O03Rik	0.121396291	-0.241840875	0.3064406625	-0.31406375
