KO	Pathway
K11532	mmu00051
K11645	mmu00051
K12660	mmu00051
K12661	mmu00051
K14634	mmu00051
K15778	mmu00051
K15856	mmu00051
K15916	mmu00051
K16011	mmu00051
K16305	mmu00051
K16306	mmu00051
K16370	mmu00051
K16881	mmu00051
K17195	mmu00051
K17497	mmu00051
K17742	mmu00051
K18333	mmu00051
K18334	mmu00051
K18335	mmu00051
K18336	mmu00051
K18337	mmu00051
K18338	mmu00051
K18339	mmu00051
K18447	mmu00051
K18818	mmu00051
K19028	mmu00051
K19029	mmu00051
K19030	mmu00051
K19270	mmu00051
K19290	mmu00051
K19291	mmu00051
K19355	mmu00051
K19633	mmu00051
K19956	mmu00051
K21071	mmu00051
K21883	mmu00051
K22252	mmu00051
K24182	mmu00051
K24204	mmu00051
K25814	mmu00051
K26911	mmu00051
K27475	mmu00051
K27924	mmu00051
K28465	mmu00051
K28472	mmu00051
K00011	mmu00052
K00035	mmu00052
K00094	mmu00052
K00704	mmu00052
K00844	mmu00052
K00845	mmu00052
K00849	mmu00052
K00850	mmu00052
K00883	mmu00052
K00917	mmu00052
K00963	mmu00052
K00965	mmu00052
K01084	mmu00052
K01182	mmu00052
K01187	mmu00052
K01189	mmu00052
K01190	mmu00052
K01193	mmu00052
K01203	mmu00052
K01220	mmu00052
K01229	mmu00052
K01631	mmu00052
K01635	mmu00052
K01684	mmu00052
K01784	mmu00052
K01785	mmu00052
K01804	mmu00052
K01819	mmu00052
K01835	mmu00052
K01854	mmu00052
K02079	mmu00052
K02082	mmu00052
K02744	mmu00052
K02745	mmu00052
K02746	mmu00052
K02747	mmu00052
K02773	mmu00052
K02774	mmu00052
K02775	mmu00052
K02786	mmu00052
K02788	mmu00052
K04618	mmu00052
K05308	mmu00052
K06611	mmu00052
K06617	mmu00052
K07406	mmu00052
K07407	mmu00052
K07966	mmu00052
K07967	mmu00052
K08302	mmu00052
K10984	mmu00052
K10985	mmu00052
K10986	mmu00052
K11395	mmu00052
K12047	mmu00052
K12111	mmu00052
K12112	mmu00052
K12308	mmu00052
K12309	mmu00052
K12316	mmu00052
K12317	mmu00052
K12407	mmu00052
K12447	mmu00052
K15778	mmu00052
K15779	mmu00052
K16370	mmu00052
K16371	mmu00052
K17716	mmu00052
K18124	mmu00052
K18125	mmu00052
K18126	mmu00052
K18127	mmu00052
K18819	mmu00052
K21071	mmu00052
K21620	mmu00052
K21621	mmu00052
K21622	mmu00052
K22215	mmu00052
K25026	mmu00052
K28214	mmu00052
K00002	mmu00053
K00012	mmu00053
K00062	mmu00053
K00063	mmu00053
K00064	mmu00053
K00103	mmu00053
K00107	mmu00053
K00128	mmu00053
K00149	mmu00053
K00225	mmu00053
K00423	mmu00053
K00434	mmu00053
K00469	mmu00053
K00699	mmu00053
K00880	mmu00053
K01053	mmu00053
K01195	mmu00053
K01630	mmu00053
K01683	mmu00053
K01706	mmu00053
K01707	mmu00053
K01708	mmu00053
K02821	mmu00053
K02822	mmu00053
K03077	mmu00053
K03078	mmu00053
K03079	mmu00053
K03475	mmu00053
K03476	mmu00053
K08092	mmu00053
K08232	mmu00053
K08679	mmu00053
K10046	mmu00053
K10047	mmu00053
K12447	mmu00053
K13873	mmu00053
K13874	mmu00053
K13875	mmu00053
K13876	mmu00053
K13877	mmu00053
K14085	mmu00053
K14190	mmu00053
K14259	mmu00053
K14756	mmu00053
K16190	mmu00053
K17744	mmu00053
K18649	mmu00053
K18981	mmu00053
K18982	mmu00053
K18983	mmu00053
K19588	mmu00053
K19590	mmu00053
K19642	mmu00053
K19660	mmu00053
K20023	mmu00053
K21888	mmu00053
K23003	mmu00053
K23004	mmu00053
K23005	mmu00053
K23007	mmu00053
K24443	mmu00053
K25260	mmu00053
K28472	mmu00053
K00059	mmu00061
K00208	mmu00061
K00209	mmu00061
K00645	mmu00061
K00647	mmu00061
K00648	mmu00061
K00665	mmu00061
K00667	mmu00061
K00668	mmu00061
K01071	mmu00061
K01716	mmu00061
K01897	mmu00061
K01946	mmu00061
K01961	mmu00061
K01962	mmu00061
K01963	mmu00061
K02160	mmu00061
K02371	mmu00061
K02372	mmu00061
K03921	mmu00061
K03922	mmu00061
K07512	mmu00061
K09458	mmu00061
K10780	mmu00061
K10781	mmu00061
K10782	mmu00061
K11262	mmu00061
K11263	mmu00061
K11533	mmu00061
K11539	mmu00061
K13370	mmu00061
K15013	mmu00061
K16363	mmu00061
K18472	mmu00061
K18473	mmu00061
K18474	mmu00061
K18660	mmu00061
K22540	mmu00061
K22541	mmu00061
K28161	mmu00061
K00022	mmu00062
K01068	mmu00062
K01074	mmu00062
K07508	mmu00062
K07509	mmu00062
K07511	mmu00062
K07512	mmu00062
K07515	mmu00062
K10203	mmu00062
K10205	mmu00062
K10244	mmu00062
K10245	mmu00062
K10246	mmu00062
K10247	mmu00062
K10248	mmu00062
K10249	mmu00062
K10250	mmu00062
K10251	mmu00062
K10258	mmu00062
K10703	mmu00062
K15397	mmu00062
K16339	mmu00062
K17360	mmu00062
K22554	mmu00062
K28199	mmu00062
K00001	mmu00071
K00022	mmu00071
K00121	mmu00071
K00128	mmu00071
K00149	mmu00071
K00232	mmu00071
K00248	mmu00071
K00249	mmu00071
K00252	mmu00071
K00255	mmu00071
K00496	mmu00071
K00529	mmu00071
K00530	mmu00071
K00626	mmu00071
K00632	mmu00071
K01692	mmu00071
K01782	mmu00071
K01825	mmu00071
K01897	mmu00071
K01909	mmu00071
K04072	mmu00071
K05297	mmu00071
K05939	mmu00071
K06445	mmu00071
K07422	mmu00071
K07425	mmu00071
K07508	mmu00071
K07509	mmu00071
K07511	mmu00071
K07513	mmu00071
K07514	mmu00071
K07515	mmu00071
K07516	mmu00071
K07517	mmu00071
K08765	mmu00071
K08766	mmu00071
K09478	mmu00071
K09479	mmu00071
K10527	mmu00071
K13238	mmu00071
K13239	mmu00071
K13767	mmu00071
K13951	mmu00071
K13952	mmu00071
K13953	mmu00071
K13954	mmu00071
K13980	mmu00071
K14085	mmu00071
K14338	mmu00071
K15013	mmu00071
K15401	mmu00071
K18857	mmu00071
K18880	mmu00071
K19523	mmu00071
K19524	mmu00071
K20495	mmu00071
K21738	mmu00071
K22567	mmu00071
K22887	mmu00071
K28161	mmu00071
K00213	mmu00100
K00222	mmu00100
K00223	mmu00100
K00227	mmu00100
K00511	mmu00100
K00559	mmu00100
K00637	mmu00100
K00801	mmu00100
K01052	mmu00100
K01824	mmu00100
K01852	mmu00100
K01853	mmu00100
K05917	mmu00100
K07419	mmu00100
K07436	mmu00100
K07438	mmu00100
K07748	mmu00100
K07750	mmu00100
K08242	mmu00100
K08246	mmu00100
K09827	mmu00100
K09828	mmu00100
K09829	mmu00100
K09831	mmu00100
K09832	mmu00100
K12298	mmu00100
K13373	mmu00100
K14423	mmu00100
K14424	mmu00100
K14674	mmu00100
K19532	mmu00100
K21146	mmu00100
K23485	mmu00100
K23558	mmu00100
K00037	mmu00120
K00251	mmu00120
K00488	mmu00120
K00489	mmu00120
K00659	mmu00120
K01442	mmu00120
K01796	mmu00120
K07430	mmu00120
K07431	mmu00120
K07439	mmu00120
K07440	mmu00120
K08748	mmu00120
K08764	mmu00120
K10214	mmu00120
K10223	mmu00120
K11992	mmu00120
K12405	mmu00120
K12408	mmu00120
K00355	mmu00130
K00457	mmu00130
K00487	mmu00130
K00568	mmu00130
K00591	mmu00130
K00815	mmu00130
K00838	mmu00130
K01075	mmu00130
K01661	mmu00130
K01851	mmu00130
K01904	mmu00130
K01911	mmu00130
K02361	mmu00130
K02548	mmu00130
K02549	mmu00130
K02551	mmu00130
K02552	mmu00130
K03179	mmu00130
K03181	mmu00130
K03182	mmu00130
K03183	mmu00130
K03184	mmu00130
K03185	mmu00130
K03186	mmu00130
K03809	mmu00130
K05357	mmu00130
K05928	mmu00130
K06125	mmu00130
K06126	mmu00130
K06127	mmu00130
K06134	mmu00130
K08680	mmu00130
K09833	mmu00130
K09834	mmu00130
K10106	mmu00130
K11782	mmu00130
K11783	mmu00130
K11784	mmu00130
K11785	mmu00130
K12073	mmu00130
K12501	mmu00130
K12502	mmu00130
K13565	mmu00130
K14759	mmu00130
K14760	mmu00130
K17872	mmu00130
K18240	mmu00130
K18284	mmu00130
K18285	mmu00130
K18286	mmu00130
K18534	mmu00130
K18586	mmu00130
K18606	mmu00130
K18800	mmu00130
K19222	mmu00130
K19267	mmu00130
K20810	mmu00130
K23094	mmu00130
K23095	mmu00130
K24441	mmu00130
K24843	mmu00130
K24844	mmu00130
K24845	mmu00130
K28034	mmu00130
K00037	mmu00140
K00038	mmu00140
K00044	mmu00140
K00070	mmu00140
K00071	mmu00140
K00089	mmu00140
K00212	mmu00140
K00251	mmu00140
K00489	mmu00140
K00497	mmu00140
K00498	mmu00140
K00512	mmu00140
K00513	mmu00140
K00545	mmu00140
K00699	mmu00140
K01015	mmu00140
K01016	mmu00140
K01131	mmu00140
K04119	mmu00140
K05295	mmu00140
K07408	mmu00140
K07409	mmu00140
K07410	mmu00140
K07412	mmu00140
K07413	mmu00140
K07414	mmu00140
K07415	mmu00140
K07424	mmu00140
K07430	mmu00140
K07433	mmu00140
K07434	mmu00140
K10207	mmu00140
K10251	mmu00140
K12343	mmu00140
K12344	mmu00140
K12345	mmu00140
K13368	mmu00140
K13369	mmu00140
K13370	mmu00140
K13373	mmu00140
K15680	mmu00140
K17689	mmu00140
K17690	mmu00140
K17691	mmu00140
K22970	mmu00140
K25779	mmu00140
K00233	mmu00190
K00234	mmu00190
K00235	mmu00190
K00236	mmu00190
K00237	mmu00190
K00239	mmu00190
K00240	mmu00190
K00241	mmu00190
K00242	mmu00190
K00244	mmu00190
K00245	mmu00190
K00246	mmu00190
K00247	mmu00190
K00330	mmu00190
K00331	mmu00190
K00332	mmu00190
K00333	mmu00190
K00334	mmu00190
K00335	mmu00190
K00336	mmu00190
K00337	mmu00190
K00338	mmu00190
K00339	mmu00190
K00340	mmu00190
K00341	mmu00190
K00342	mmu00190
K00343	mmu00190
K00404	mmu00190
K00405	mmu00190
K00406	mmu00190
K00407	mmu00190
K00410	mmu00190
K00411	mmu00190
K00412	mmu00190
K00413	mmu00190
K00414	mmu00190
K00415	mmu00190
K00416	mmu00190
K00417	mmu00190
K00418	mmu00190
K00419	mmu00190
K00420	mmu00190
K00424	mmu00190
K00425	mmu00190
K00426	mmu00190
K00937	mmu00190
K01507	mmu00190
K01535	mmu00190
K01542	mmu00190
K01543	mmu00190
K01544	mmu00190
K01549	mmu00190
K02107	mmu00190
K02108	mmu00190
K02109	mmu00190
K02110	mmu00190
K02111	mmu00190
K02112	mmu00190
K02113	mmu00190
K02114	mmu00190
K02115	mmu00190
K02117	mmu00190
K02118	mmu00190
K02119	mmu00190
K02120	mmu00190
K02121	mmu00190
K02122	mmu00190
K02123	mmu00190
K02124	mmu00190
K02125	mmu00190
K02126	mmu00190
K02127	mmu00190
K02128	mmu00190
K02129	mmu00190
K02130	mmu00190
K02131	mmu00190
K02132	mmu00190
K02133	mmu00190
K02134	mmu00190
K02135	mmu00190
K02136	mmu00190
K02137	mmu00190
K02138	mmu00190
K02139	mmu00190
K02140	mmu00190
K02141	mmu00190
K02142	mmu00190
K02143	mmu00190
K02144	mmu00190
K02145	mmu00190
K02146	mmu00190
K02147	mmu00190
K02148	mmu00190
K02149	mmu00190
K02150	mmu00190
K02151	mmu00190
K02152	mmu00190
K02153	mmu00190
K02154	mmu00190
K02155	mmu00190
K02256	mmu00190
K02257	mmu00190
K02258	mmu00190
K02259	mmu00190
K02260	mmu00190
K02261	mmu00190
K02262	mmu00190
K02263	mmu00190
K02264	mmu00190
K02265	mmu00190
K02266	mmu00190
K02267	mmu00190
K02268	mmu00190
K02269	mmu00190
K02270	mmu00190
K02271	mmu00190
K02272	mmu00190
K02273	mmu00190
K02274	mmu00190
K02275	mmu00190
K02276	mmu00190
K02277	mmu00190
K02297	mmu00190
K02298	mmu00190
K02299	mmu00190
K02300	mmu00190
K02826	mmu00190
K02827	mmu00190
K02828	mmu00190
K02829	mmu00190
K03661	mmu00190
K03662	mmu00190
K03878	mmu00190
K03879	mmu00190
K03880	mmu00190
K03881	mmu00190
K03882	mmu00190
K03883	mmu00190
K03884	mmu00190
K03885	mmu00190
K03886	mmu00190
K03887	mmu00190
K03888	mmu00190
K03889	mmu00190
K03890	mmu00190
K03891	mmu00190
K03934	mmu00190
K03935	mmu00190
K03936	mmu00190
K03937	mmu00190
K03938	mmu00190
K03939	mmu00190
K03940	mmu00190
K03941	mmu00190
K03942	mmu00190
K03943	mmu00190
K03944	mmu00190
K03945	mmu00190
K03946	mmu00190
K03947	mmu00190
K03948	mmu00190
K03949	mmu00190
K03950	mmu00190
K03951	mmu00190
K03952	mmu00190
K03953	mmu00190
