KO	Pathway
K01084	hsa00052
K01182	hsa00052
K01187	hsa00052
K01189	hsa00052
K01190	hsa00052
K01193	hsa00052
K01203	hsa00052
K01220	hsa00052
K01229	hsa00052
K01631	hsa00052
K01635	hsa00052
K01684	hsa00052
K01784	hsa00052
K01785	hsa00052
K01804	hsa00052
K01819	hsa00052
K01835	hsa00052
K01854	hsa00052
K02079	hsa00052
K02082	hsa00052
K02744	hsa00052
K02745	hsa00052
K02746	hsa00052
K02747	hsa00052
K02773	hsa00052
K02774	hsa00052
K02775	hsa00052
K02786	hsa00052
K02788	hsa00052
K04618	hsa00052
K05308	hsa00052
K06611	hsa00052
K06617	hsa00052
K07406	hsa00052
K07407	hsa00052
K07966	hsa00052
K07967	hsa00052
K08302	hsa00052
K10984	hsa00052
K10985	hsa00052
K10986	hsa00052
K11395	hsa00052
K12047	hsa00052
K12111	hsa00052
K12112	hsa00052
K12308	hsa00052
K12309	hsa00052
K12316	hsa00052
K12317	hsa00052
K12407	hsa00052
K12447	hsa00052
K15778	hsa00052
K15779	hsa00052
K16370	hsa00052
K16371	hsa00052
K17716	hsa00052
K18124	hsa00052
K18125	hsa00052
K18126	hsa00052
K18127	hsa00052
K18819	hsa00052
K21071	hsa00052
K21620	hsa00052
K21621	hsa00052
K21622	hsa00052
K22215	hsa00052
K25026	hsa00052
K28214	hsa00052
K00002	hsa00053
K00012	hsa00053
K00062	hsa00053
K00063	hsa00053
K00064	hsa00053
K00103	hsa00053
K00107	hsa00053
K00128	hsa00053
K00149	hsa00053
K00225	hsa00053
K00423	hsa00053
K00434	hsa00053
K00469	hsa00053
K00699	hsa00053
K00880	hsa00053
K01053	hsa00053
K01195	hsa00053
K01630	hsa00053
K01683	hsa00053
K01706	hsa00053
K01707	hsa00053
K01708	hsa00053
K02821	hsa00053
K02822	hsa00053
K03077	hsa00053
K03078	hsa00053
K03079	hsa00053
K03475	hsa00053
K03476	hsa00053
K08092	hsa00053
K08232	hsa00053
K08679	hsa00053
K10046	hsa00053
K10047	hsa00053
K12447	hsa00053
K13873	hsa00053
K13874	hsa00053
K13875	hsa00053
K13876	hsa00053
K13877	hsa00053
K14085	hsa00053
K14190	hsa00053
K14259	hsa00053
K14756	hsa00053
K16190	hsa00053
K17744	hsa00053
K18649	hsa00053
K18981	hsa00053
K18982	hsa00053
K18983	hsa00053
K19588	hsa00053
K19590	hsa00053
K19642	hsa00053
K19660	hsa00053
K20023	hsa00053
K21888	hsa00053
K23003	hsa00053
K23004	hsa00053
K23005	hsa00053
K23007	hsa00053
K24443	hsa00053
K25260	hsa00053
K28472	hsa00053
K00059	hsa00061
K00208	hsa00061
K00209	hsa00061
K00645	hsa00061
K00647	hsa00061
K00648	hsa00061
K00665	hsa00061
K00667	hsa00061
K00668	hsa00061
K01071	hsa00061
K01716	hsa00061
K01897	hsa00061
K01946	hsa00061
K01961	hsa00061
K01962	hsa00061
K01963	hsa00061
K02160	hsa00061
K02371	hsa00061
K02372	hsa00061
K03921	hsa00061
K03922	hsa00061
K07512	hsa00061
K09458	hsa00061
K10780	hsa00061
K10781	hsa00061
K10782	hsa00061
K11262	hsa00061
K11263	hsa00061
K11533	hsa00061
K11539	hsa00061
K13370	hsa00061
K15013	hsa00061
K16363	hsa00061
K18472	hsa00061
K18473	hsa00061
K18474	hsa00061
K18660	hsa00061
K22540	hsa00061
K22541	hsa00061
K28161	hsa00061
K00022	hsa00062
K01068	hsa00062
K01074	hsa00062
K07508	hsa00062
K07509	hsa00062
K07511	hsa00062
K07512	hsa00062
K07515	hsa00062
K10203	hsa00062
K10205	hsa00062
K10244	hsa00062
K10245	hsa00062
K10246	hsa00062
K10247	hsa00062
K10248	hsa00062
K10249	hsa00062
K10250	hsa00062
K10251	hsa00062
K10258	hsa00062
K10703	hsa00062
K15397	hsa00062
K16339	hsa00062
K17360	hsa00062
K22554	hsa00062
K28199	hsa00062
K00001	hsa00071
K00022	hsa00071
K00121	hsa00071
K00128	hsa00071
K00149	hsa00071
K00232	hsa00071
K00248	hsa00071
K00249	hsa00071
K00252	hsa00071
K00255	hsa00071
K00496	hsa00071
K00529	hsa00071
K00530	hsa00071
K00626	hsa00071
K00632	hsa00071
K01692	hsa00071
K01782	hsa00071
K01825	hsa00071
K01897	hsa00071
K01909	hsa00071
K04072	hsa00071
K05297	hsa00071
K05939	hsa00071
K06445	hsa00071
K07422	hsa00071
K07425	hsa00071
K07508	hsa00071
K07509	hsa00071
K07511	hsa00071
K07513	hsa00071
K07514	hsa00071
K07515	hsa00071
K07516	hsa00071
K07517	hsa00071
K08765	hsa00071
K08766	hsa00071
K09478	hsa00071
K09479	hsa00071
K10527	hsa00071
K13238	hsa00071
K13239	hsa00071
K13767	hsa00071
K13951	hsa00071
K13952	hsa00071
K13953	hsa00071
K13954	hsa00071
K13980	hsa00071
K14085	hsa00071
K14338	hsa00071
K15013	hsa00071
K15401	hsa00071
K18857	hsa00071
K18880	hsa00071
K19523	hsa00071
K19524	hsa00071
K20495	hsa00071
K21738	hsa00071
K22567	hsa00071
K22887	hsa00071
K28161	hsa00071
K00213	hsa00100
K00222	hsa00100
K00223	hsa00100
K00227	hsa00100
K00511	hsa00100
K00559	hsa00100
K00637	hsa00100
K00801	hsa00100
K01052	hsa00100
K01824	hsa00100
K01852	hsa00100
K01853	hsa00100
K05917	hsa00100
K07419	hsa00100
K07436	hsa00100
K07438	hsa00100
K07748	hsa00100
K07750	hsa00100
K08242	hsa00100
K08246	hsa00100
K09827	hsa00100
K09828	hsa00100
K09829	hsa00100
K09831	hsa00100
K09832	hsa00100
K12298	hsa00100
K13373	hsa00100
K14423	hsa00100
K14424	hsa00100
K14674	hsa00100
K19532	hsa00100
K21146	hsa00100
K23485	hsa00100
K23558	hsa00100
K00037	hsa00120
K00251	hsa00120
K00488	hsa00120
K00489	hsa00120
K00659	hsa00120
K01442	hsa00120
K01796	hsa00120
K07430	hsa00120
K07431	hsa00120
K07439	hsa00120
K07440	hsa00120
K08748	hsa00120
K08764	hsa00120
K10214	hsa00120
K10223	hsa00120
K11992	hsa00120
K12405	hsa00120
K12408	hsa00120
K00355	hsa00130
K00457	hsa00130
K00487	hsa00130
K00568	hsa00130
K00591	hsa00130
K00815	hsa00130
K00838	hsa00130
K01075	hsa00130
K01661	hsa00130
K01851	hsa00130
K01904	hsa00130
K01911	hsa00130
K02361	hsa00130
K02548	hsa00130
K02549	hsa00130
K02551	hsa00130
K02552	hsa00130
K03179	hsa00130
K03181	hsa00130
K03182	hsa00130
K03183	hsa00130
K03184	hsa00130
K03185	hsa00130
K03186	hsa00130
K03809	hsa00130
K05357	hsa00130
K05928	hsa00130
K06125	hsa00130
K06126	hsa00130
K06127	hsa00130
K06134	hsa00130
K08680	hsa00130
K09833	hsa00130
K09834	hsa00130
K10106	hsa00130
K11782	hsa00130
K11783	hsa00130
K11784	hsa00130
K11785	hsa00130
K12073	hsa00130
K12501	hsa00130
K12502	hsa00130
K13565	hsa00130
K14759	hsa00130
K14760	hsa00130
K17872	hsa00130
K18240	hsa00130
K18284	hsa00130
K18285	hsa00130
K18286	hsa00130
K18534	hsa00130
K18586	hsa00130
K18606	hsa00130
K18800	hsa00130
K19222	hsa00130
K19267	hsa00130
K20810	hsa00130
K23094	hsa00130
K23095	hsa00130
K24441	hsa00130
K24843	hsa00130
K24844	hsa00130
K24845	hsa00130
K28034	hsa00130
K00037	hsa00140
K00038	hsa00140
K00044	hsa00140
K00070	hsa00140
K00071	hsa00140
K00089	hsa00140
K00212	hsa00140
K00251	hsa00140
K00489	hsa00140
K00497	hsa00140
K00498	hsa00140
K00512	hsa00140
K00513	hsa00140
K00545	hsa00140
K00699	hsa00140
K01015	hsa00140
K01016	hsa00140
K01131	hsa00140
K04119	hsa00140
K05295	hsa00140
K07408	hsa00140
K07409	hsa00140
K07410	hsa00140
K07412	hsa00140
K07413	hsa00140
K07414	hsa00140
K07415	hsa00140
K07424	hsa00140
